STATION_NO,STATION_NAME,LINE_NO,TRANSFER_YN,EXIT_COUNT,WEEK_START_TIME,WEEK_END_TIME,HOL_START_TIME,HOL_END_TIME,TOILET_IO,TOILET_FM,TOILET_COUNT
100,소요산,1,N,,,,,,,,
101,동두천,1,N,,,,,,,,
102,보산,1,N,,,,,,,,
103,동두천중앙,1,N,,,,,,,,
104,지행,1,N,,,,,,,,
105,덕정,1,N,,,,,,,,
106,덕계,1,N,,,,,,,,
107,양주,1,N,,,,,,,,
108,녹양,1,N,,,,,,,,
109,가능,1,N,,,,,,,,
110,의정부,1,N,,,,,,,,
111,회룡,1,N,,,,,,,,
112,망월사,1,N,,,,,,,,
113,도봉산,1,Y,,,,,,,,
114,도봉,1,N,,,,,,,,
115,방학,1,N,,,,,,,,
116,창동,1,Y,,,,,,,,
117,녹천,1,N,,,,,,,,
118,월계,1,N,,,,,,,,
119,광운대,1,N,,,,,,,,
120,석계,1,Y,,,,,,,,
121,신이문,1,N,,,,,,,,
122,외대앞,1,N,,,,,,,,
123,회기,1,N,,,,,,,,
124,청량리,1,N,,,,,,,,
125,제기동,1,N,,,,,,,,
126,신설동,1,Y,,,,,,,,
127,동묘앞,1,Y,,,,,,,,
128,동대문,1,Y,,,,,,,,
129,종로5가,1,N,,,,,,,,
130,종로3가,1,Y,,,,,,,,
131,종각,1,N,,,,,,,,
132,시청,1,Y,,,,,,,,
133,서울역,1,Y,,,,,,,,
134,남영,1,N,,,,,,,,
135,용산,1,N,,,,,,,,
136,노량진,1,Y,,,,,,,,
137,대방,1,N,,,,,,,,
138,신길,1,Y,,,,,,,,
139,영등포,1,N,,,,,,,,
140,신도림,1,Y,,,,,,,,
141,구로,1,N,,,,,,,,
142,구일,1,N,,,,,,,,
143,개봉,1,N,,,,,,,,
144,오류동,1,N,,,,,,,,
145,온수,1,Y,,,,,,,,
146,역곡,1,N,,,,,,,,
147,소사,1,N,,,,,,,,
148,부천,1,N,,,,,,,,
149,중동,1,N,,,,,,,,
150,송내,1,N,,,,,,,,
151,부개,1,N,,,,,,,,
152,부평,1,N,,,,,,,,
153,백운,1,N,,,,,,,,
154,동암,1,N,,,,,,,,
155,간석,1,N,,,,,,,,
156,주안,1,N,,,,,,,,
157,도화,1,N,,,,,,,,
158,제물포,1,N,,,,,,,,
159,도원,1,N,,,,,,,,
160,동인천,1,N,,,,,,,,
161,인천,1,N,,,,,,,,
200,시청,2,Y,,,,,,,,
201,을지로입구,2,N,,,,,,,,
202,을지로3가,2,Y,,,,,,,,
203,을지로4가,2,Y,,,,,,,,
204,동대문역사문화공원,2,Y,,,,,,,,
205,신당,2,Y,,,,,,,,
206,상왕십리,2,N,,,,,,,,
207,왕십리,2,Y,,,,,,,,
208,한양대,2,N,,,,,,,,
209,뚝섬,2,N,,,,,,,,
210,성수,2,N,,,,,,,,
211,건대입구,2,Y,,,,,,,,
212,구의,2,N,,,,,,,,
213,강변,2,N,,,,,,,,
214,잠실나루,2,N,,,,,,,,
215,잠실,2,Y,,,,,,,,
216,잠실새내,2,N,,,,,,,,
217,종합운동장,2,Y,,,,,,,,
218,삼성,2,N,,,,,,,,
219,선릉,2,N,,,,,,,,
220,역삼,2,N,,,,,,,,
221,강남,2,N,,,,,,,,
222,교대,2,Y,,,,,,,,
223,서초,2,N,,,,,,,,
224,방배,2,N,,,,,,,,
225,사당,2,Y,,,,,,,,
226,낙성대,2,N,,,,,,,,
227,서울대입구,2,N,,,,,,,,
228,봉천,2,N,,,,,,,,
229,신림,2,N,,,,,,,,
230,신대방,2,N,,,,,,,,
